Cycle,GRF
0,-0.916
0,-1.477
0,-1.623
0,-1.459
0,-1.100
0,-0.654
0,-0.213
0,0.155
0,0.410
0,0.540
0,0.554
0,0.478
0,0.344
0,0.186
0,0.034
0,-0.088
0,-0.170
0,-0.207
0,-0.204
0,-0.170
0,-0.117
0,-0.058
0,-0.003
0,0.040
0,0.068
0,0.079
0,0.075
0,0.061
0,0.040
0,0.018
0,-0.002
0,-0.017
0,-0.027
0,-0.030
0,-0.028
0,-0.022
0,-0.014
0,-0.005
0,0.003
0,0.009
0,0.012
0,0.014
0,0.012
0,0.009
0,0.005
0,0.000
0,-0.004
0,-0.008
0,-0.011
0,-0.011
0,-0.010
0,-0.007
0,-0.002
0,0.004
0,0.010
0,0.016
0,0.020
0,0.021
0,0.018
0,0.011
0,0.000
0,-0.014
0,-0.029
0,-0.042
0,-0.051
0,-0.053
0,-0.044
0,-0.024
0,0.006
0,0.043
0,0.083
0,0.118
0,0.139
0,0.139
0,0.111
0,0.054
0,-0.031
0,-0.133
0,-0.239
0,-0.328
0,-0.378
0,-0.367
0,-0.281
0,-0.114
0,0.123
0,0.404
0,0.686
0,0.913
0,1.025
0,0.967
0,0.701
0,0.221
0,-0.441
0,-1.204
0,-1.946
0,-2.516
0,-2.749
0,-2.503
0,-1.690
0,-0.310
0,1.526
0,3.580
0,5.500
0,6.858
0,7.209
0,6.180
0,3.560
0,-0.597
0,-5.906
0,-11.612
0,-16.607
0,-19.517
0,-18.847
0,-13.177
0,-1.380
0,17.165
3,42.415
3,73.598
3,109.255
3,147.401
3,185.791
3,222.226
3,254.864
3,282.459
3,304.489
3,321.172
3,333.345
3,342.281
3,349.450
3,356.287
3,363.996
3,373.418
3,384.972
3,398.671
3,414.192
3,430.983
3,448.391
3,465.762
3,482.532
3,498.273
3,512.709
3,525.703
3,537.227
3,547.334
3,556.123
3,563.714
3,570.235
3,575.815
3,580.577
3,584.646
3,588.138
3,591.166
3,593.828
3,596.204
3,598.345
3,600.269
3,601.955
3,603.344
3,604.347
3,604.856
3,604.757
3,603.948
3,602.353
3,599.932
3,596.687
3,592.663
3,587.941
3,582.633
3,576.866
3,570.774
3,564.486
3,558.116
3,551.759
3,545.487
3,539.348
3,533.366
3,527.551
3,521.894
3,516.383
3,511.000
3,505.728
3,500.557
3,495.481
3,490.504
3,485.640
3,480.913
3,476.359
3,472.022
3,467.956
3,464.216
3,460.855
3,457.922
3,455.451
3,453.463
3,451.963
3,450.940
3,450.370
3,450.217
3,450.440
3,450.995
3,451.838
3,452.931
3,454.245
3,455.761
3,457.468
3,459.366
3,461.458
3,463.752
3,466.252
3,468.959
3,471.869
3,474.972
3,478.252
3,481.689
3,485.262
3,488.951
3,492.741
3,496.623
3,500.596
3,504.665
3,508.843
3,513.144
3,517.585
3,522.181
3,526.940
3,531.865
3,536.949
3,542.177
3,547.527
3,552.969
3,558.469
3,563.989
3,569.489
3,574.929
3,580.271
3,585.477
3,590.510
3,595.337
3,599.925
3,604.242
3,608.255
3,611.931
3,615.230
3,618.108
3,620.513
3,622.383
3,623.653
3,624.249
3,624.100
3,623.140
3,621.317
3,618.594
3,614.958
3,610.417
3,604.998
3,598.738
3,591.675
3,583.832
3,575.205
3,565.746
3,555.350
3,543.848
3,531.008
3,516.549
3,500.160
3,481.533
3,460.405
3,436.599
3,410.070
3,380.936
3,349.505
3,316.276
3,281.926
3,247.268
3,213.198
3,180.621
3,150.376
3,123.162
3,99.471
3,79.557
3,63.412
3,50.784
3,41.225
3,34.146
0,28.901
0,24.862
0,21.495
